"omop_concept_id_1","unit_concept_id_1","conversion_factor","omop_concept_id_2","unit_concept_id_2"
1092148,8636,5.551,1761753,8753
1175191,8749,0.585,40762889,8751
1761753,8753,0.18,1092148,8636
3000067,8845,9.43,3010566,8729
3000483,8636,5.551,3020491,8753
3000593,8725,0.738,3009035,8729
3000992,8753,0.18,3003334,8636
3001308,8753,0.387,3028437,8636
3001349,8751,113.636,3013539,8753
3001420,8751,0.041,3012095,8753
3001501,8753,0.18,3034962,8636
3002400,8751,17.91,3022948,8749
3003334,8636,5.551,3000992,8753
3003435,8636,5.551,3004067,8753
3003458,8753,30.96,3011904,8751
3004067,8753,0.18,3003435,8636
3004428,8636,5.551,3019047,8753
3004501,8636,5.551,3013826,8753
3004722,8842,21.27,3021387,9040
3004724,8753,0.18,3009414,8636
3005082,8736,0.314,3027144,8842
3005570,8753,0.18,3020399,8636
3005772,8749,0.585,3019676,8751
3006140,8749,0.585,3024128,8751
3006906,8751,0.02495,3015377,8753
3007070,8636,2.586,3023602,8753
3007242,8749,0.585,3007359,8751
3007332,8636,5.551,3039422,8753
3007359,8751,1.71,3007242,8749
3007495,8842,2.76,3045630,8736
3008455,8753,24.305,3021770,8751
3008799,8753,0.18,3028247,8636
3008893,8842,3.467,3017446,8736
3009035,8729,1.355,3000593,8725
3009414,8636,5.551,3004724,8753
3009508,8753,113.636,3017250,8751
3009577,8749,79.6,3021044,8751
3009682,8842,2.76,3036481,8736
3009810,8636,16.65,43534077,8753
3010300,8636,5.551,3015024,8753
3010566,8729,0.106,3000067,8845
3011161,8636,5.551,3017890,8753
3011904,8751,0.0323,3003458,8753
3012095,8753,24.305,3001420,8751
3012898,8753,0.06,3034734,8636
3013539,8753,0.0088,3001349,8751
3013826,8753,0.18,3004501,8636
3015024,8753,0.18,3010300,8636
3015377,8753,40.08,3006906,8751
3015672,8753,0.06,40766211,8636
3016701,8753,0.18,3026300,8636
3016723,8751,8.84,3020564,8749
3017250,8751,0.0088,3009508,8753
3017446,8736,0.288,3008893,8842
3017538,8753,0.18,3025673,8636
3017589,8753,0.18,3027198,8636
3017890,8753,0.18,3011161,8636
3019047,8753,0.18,3004428,8636
3019676,8751,1.71,3005772,8749
3019900,8753,0.387,3027114,8636
3020059,8753,40.08,3047107,8751
3020149,8842,2.5,3024390,8736
3020399,8636,5.551,3005570,8753
3020491,8753,0.18,3000483,8636
3020564,8749,0.113,3016723,8751
3020779,8753,0.06,3034204,8636
3021044,8751,0.0126,3009577,8749
3021387,9040,0.047,3004722,8842
3021770,8751,0.041,3008455,8753
3021960,8736,0.441,3036987,8748
3022192,8636,1.129,3025839,8753
3022948,8749,0.056,3002400,8751
3023306,8636,5.551,3036895,8753
3023530,8736,0.3305,3028718,8842
3023602,8753,0.387,3007070,8636
3024128,8751,1.71,3006140,8749
3024390,8736,0.4,3020149,8842
3025285,8845,3.671,3026725,8729
3025673,8636,5.551,3017538,8753
3025839,8753,0.886,3022192,8636
3026300,8636,5.551,3016701,8753
3026493,8749,0.168,3037556,8751
3026536,8636,5.551,3041930,8753
3026725,8729,0.272,3025285,8845
3027114,8636,2.586,3019900,8753
3027144,8842,0.318,3005082,8736
3027198,8636,5.551,3017589,8753
3027219,8636,16.65,43534100,8753
3028247,8636,5.551,3008799,8753
3028437,8636,2.586,3001308,8753
3028718,8842,3.026,3023530,8736
3028833,8751,1.71,40757494,8749
3033408,8636,5.551,3038515,8753
3034204,8636,16.65,3020779,8753
3034734,8636,16.65,3012898,8753
3034962,8636,5.551,3001501,8753
3036481,8736,0.3625,3009682,8842
3036895,8753,0.18,3023306,8636
3036987,8748,2.266,3021960,8736
3037556,8751,5.948,3026493,8749
3038434,8753,0.18,3042443,8636
3038515,8753,0.18,3033408,8636
3039422,8753,0.18,3007332,8636
3040820,8636,5.551,3042469,8753
3041930,8753,0.18,3026536,8636
3042419,8751,0.02495,40762241,8753
3042443,8636,5.551,3038434,8753
3042469,8753,0.18,3040820,8636
3042946,8736,0.3625,3053258,8842
3043636,8842,21.27,44816844,9040
3044726,8736,0.3625,3049457,8842
3045630,8736,0.3625,3007495,8842
3046224,8736,0.3625,3050094,8842
3046535,8736,0.3625,3049775,8842
3047107,8751,0.02495,3020059,8753
3048840,8842,2.76,3049142,8736
3049142,8736,0.3625,3048840,8842
3049457,8842,2.76,3044726,8736
3049775,8842,2.76,3046535,8736
3050094,8842,2.76,3046224,8736
3050450,8751,0.0323,40759093,8753
3051825,8751,8.84,40762887,8749
3053258,8842,2.76,3042946,8736
3964702,8749,0.113,3964702,8751
3964702,8751,8.84,3964702,8749
40757494,8749,0.585,3028833,8751
40759093,8753,30.96,3050450,8751
40762241,8753,40.08,3042419,8751
40762887,8749,0.113,3051825,8751
40762889,8751,1.71,1175191,8749
40765040,8842,2.5,40771025,8736
40766211,8636,16.65,3015672,8753
40771025,8736,0.4,40765040,8842
43534077,8753,0.06,3009810,8636
43534100,8753,0.06,3027219,8636
44816844,9040,0.047,3043636,8842
3000963,8636,0.1,3000963,8713
3000963,8713,10,3000963,8636
3002173,8636,0.1,3002173,8713
3002173,8713,10,3002173,8636
3004119,8636,0.1,3004119,8713
3004119,8713,10,3004119,8636
3006184,8636,0.1,3006184,8713
3006184,8713,10,3006184,8636
3026820,8636,0.1,3026820,8713
3026820,8713,10,3026820,8636
3027901,8636,0.1,3027901,8713
3027901,8713,10,3027901,8636
